No.,bo text,zh text
145,"འོན་ཏེ་དྲི་ཞིམ་ཙནྡན་ནི<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཙནྡན་ནི] «C» ཙནྡན་ན། The reading ནི is preferred as it matches the Sanskrit particle यदि and is supported by all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span>.</i>།།<br>ལུས་ལ་འདིར་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ལུས་ལ་འདིར་] «C» ལུས་ལས་འདིར་ «N,Q» ལུས་ལ་འདི། The reading ལ་འདིར་ is chosen as it best corresponds to the Sanskrit locative कायस्यात्र and is supported by GDR's commentary.</i>ནི་ཅི་ཞིག་བྱུང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བྱུང་] «C» འབྱུང་ «N,Q» འབྱུག། The reading བྱུང་ is preferred as it better matches the Sanskrit past participle आयातं and the sense of the verse as explained in KP's commentary <span class=\""text-quotation-style\"">འབྱུང་སྟེ་ཅི་ཡང་མི་འབྱུང་</span>.</i>།།<br>གཞན་གྱི་དྲི་ཡིས་གཞན་དག་ལ།།<br>ཅི་ཡི་ཕྱིར་ན་ཆགས་པར་བྱེད།།",是則芬芳出旃檀 <br> 於此身中何所有 <br> 何故依於餘物香 <br> 於餘人身起貪著
146,"གལ་ཏེ་སྐྲ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">སྐྲ་] F,G སྐྱ་ ། The reading སྐྲ་ is confirmed by Skt. केश and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span>. F,G's སྐྱ་ appears to be a scribal error.</i>སེན་རིང་བ་དང་།།<br>སོ་སྐྱ་དྲིར་བཅས་འདམ་གྱི་དྲིས།།<br>བསྒོས་པས་ལུས་ཀྱི་རང་བཞིན་ནི།།<br>གཅེར་བུ་འཇིགས་པ་ཉིད་ཡིན་ན<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">སོ་སྐྱ་དྲིར་བཅས་འདམ་གྱི་དྲིས། །བསྒོས་པས་] Q སྐྱ་དྲི་མར་བཅས་པ་དང་། །འདམ་གྱི་དྲིས་བསྒོས་གཅེར་བུ་སྟེ། །ལུས་ཀྱི་རང་བཞིན་འཇིགས་བཅས་ན་ । The main reading is supported by Skt. दन्तैः समलपाण्डुरैः। मलपङ्कधर and most commentaries. Q's variant appears to be an explanatory expansion.</i>།།",若時髮長爪甲深 <br> 牙齒污穢垢膩染 <br> 人身自性本如是 <br> 袒露觀之堪怖畏
147,"རང་ལ་གནོད་པའི་མཚོན་བཞིན་དུ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">མཚོན་བཞིན་དུ] N,Q ན། Sanskrit शस्त्रवत् and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> support the main reading དུ. The particle དུ is required for the simile construction.</i>།།<br>དེ་འབད་ཅི་ཕྱིར་བྱི་དོར་བྱེད།།<br>བདག་ལ་རྨོངས་པའི་འབད་པ་ཡིས།།<br>སྨྱོས་པས་ས་འདི་ཀུན་ཏུ་འཁྲུགས<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཀུན་ཏུ་འཁྲུགས] N,Q འཁྲུགས་པ་ཡིས། Sanskrit आकुला supports the shorter reading འཁྲུགས. Additionally, KP's gloss འཁྲུགས་པ་ནི and the other commentaries confirm this reading. The variant པ་ཡིས appears to be an unnecessary expansion.</i>།།",如此刀劍傷自身 <br> 云何於彼勤剪剔 <br>我執愚癡力所蒙 <br> 於地顛狂頻洗濯
148,"རུས་གོང་འབའ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">འབའ་] N,Q འགའ་ | Reading འབའ་ is supported by Skt. कतिचित् <span class=\""text-quotation-style\"">'some, a few'</span> and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> which consistently use འབའ་ཞིག་</i>ཞིག་མཐོང་ནས་ནི།།<br>དུར་ཁྲོད་དུ་ནི་ཡིད་འབྱུང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">འབྱུང་] N,Q བྱུང་ | Reading འབྱུང་ is supported by Skt. present tense घृणा and commentaries <span class=\""text-quotation-style\"">KP: ཡིད་འབྱུང་, GDR: ཡིད་འབྱུང་</span> which use the present tense form</i>ན།།<br>གཡོ་བའི་རུས་གོང་གིས་ཁྱབ་པའི།།<br>གྲོང་གི་དུར་ཁྲོད་ལ་དགའ་འམ།།",僅見久死舊屍骸 <br> 若於屍林猶壓捨 <br> 搖曳屍骸遍城邑 <br> 於此屍林何喜愛
149,"དེ་ལྟར་མི་གཙང་གྱུར་པ་དེ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དེ] C དེའང་། Sanskrit एतद् and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> support the shorter reading དེ</i>།།<br>རིན་མེད་པར་ནི་མི་རྙེད་དོ།།<br>དེ་དོན་བསྒྲུབས་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བསྒྲུབས་] N,Q སྒྲུབ་། Sanskrit अर्जनायास and commentaries <span class=\""text-quotation-style\"">KP: བསྒྲུབ་, GDR: བསྒྲུབས་</span> support བསྒྲུབས་</i>པས་ཤ་ཐང་དང་།།<br>དམྱལ་ལ་སོགས་པའི་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">པའི་] N,Q པས་། Sanskrit नरकादिषु and commentaries <span class=\""text-quotation-style\"">KP, GDR: ལ་སོགས་པའི་</span> support པའི་</i>གནོད་པར་འགྱུར།།",況復如是不淨物 <br> 不酬其值不可得 <br> 為成此事費勤劬 <br> 亦遭地獄等災害
150,"བྱིས་པ་ནོར་སྤེལ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ནོར་སྤེལ་] «D» སྲེལ་ ། Sanskrit शिशोर्नार्जनसामर्थ्यं and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> support སྤེལ་ with reference to accumulating wealth <span class=\""text-quotation-style\"">ནོར་</span>.</i>མི་ནུས་པས།།<br>དར་ལ་བབ་ན་འདིས་ཅི་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">འདིས་ཅི་] «N,Q» ཅིས་འདིར་ «C» འདིས་ཅི་ । Reading འདིས་ཅི་ supported by Sanskrit केन and commentary KP <span class=\""text-quotation-style\"">འདིས་ཅི་ལྟར་</span>.</i>བདེ།།<br>ནོར་སོག་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">སོག་] «C» སོག་ «F,G» གསོག་ «N,Q» སོག་ । Reading སོག་ confirmed by KP <span class=\""text-quotation-style\"">སོག་པ་</span> and context of accumulating wealth.</i>པ་ཡིས་ཚེ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཡིས་ཚེ་] «F,G» ཡིས་ཚིག་ «N,Q» ཡི་ཚིག་ । Reading ཡིས་ཚེ་ supported by Sanskrit तारुण्यं and KP <span class=\""text-quotation-style\"">ཚེ་ཡོངས་སུ་</span>.</i>གཏུགས་ན<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">གཏུགས་ན་] «N,Q» གཏུགས་ནས་ । Reading གཏུགས་ན་ supported by KP <span class=\""text-quotation-style\"">གཏུགས་ཤིང་</span> and better fits the verse structure.</i>།།<br>རྒས་ནས་འདོད་པས་ཅི་ཞིག་བྱ།།",少年無力致資財 <br> 及年方長此何用 <br> 消磨歲月積財富 <br> 老矣得之有何益
151,"འདོད་ལྡན་ངན་པ་ཁ་ཅིག་ནི།།<br>ཉིན་རིངས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཉིན་རིངས་] C རངས་ ༡ Skt. दिनान्त <span class=\""text-quotation-style\"">day's end</span> supports རིངས་ as it conveys the temporal extent. ༢ All commentaries <span class=\""text-quotation-style\"">KP, KS, GDR, TS</span> support རིངས་ either explicitly or implicitly. ༣ KP specifically glosses as རིངས་པོ་ <span class=\""text-quotation-style\"">long</span>, confirming this reading.</i>ལས་ཀྱིས་ཡོངས་དུབ་སྟེ།།<br>ཁྱིམ་དུ་འོངས་ནས་ཆད་པའི་ལུས།།<br>རོ་དང་འདྲ་བར་ཉལ་བར་བྱེད།།",或有貪慾下劣人 <br> 黎明而起極勤劬 <br> 抵暮歸家身疲極 <br> 僵然而臥如死屍
152,ཁ་ཅིག་བྱེས་བགྲོད་ཉོན་མོངས་དང་།།<br>རིང་དུ་སོང་བའི་སྡུག་བསྔལ་ཅན།།<br>བུ་སྨད་འདོད་བཞིན་བུ་སྨད་རྣམས།།<br>ཁྱུད་ཁོར་ལོས་ཀྱང་མཐོང་མི་འགྱུར།།,或由煩惱遊異域 <br> 跋涉長途受諸苦 <br> 心欲求於諸女色 <br> 而諸女色終難遇
153,"བདག་ལ་ཕན་འདོད་རྣམས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">འདོད་རྣམས་] N,Q འདོགས་རྣམས་། The reading འདོད་ is supported by Skt. कामविमोहितैः and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> which gloss it as འདོད་པ་རྣམས།</i>རྨོངས་པས།།<br>གང་དོན་ཉིད་དུ་བཙོངས་པ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བཙོངས་པ་] C བཙོངས་པ་ N,Q བརྩོངས་པ། The reading བཙོངས་པ་ is supported by Skt. विक्रीत and commentaries: KP བཙོངས་པ་, GDR བཙོངས་པ་, KS བཙོངས་པ་, TS བཙོངས་པ་. Furthermore, བརྩོངས་ is not attested in standard lexicons.</i>ཡང་།།<br>དེ་མ་ཐོབ་པར་དོན་མེད་པའི།།<br>གཞན་གྱི་ལས་ཀྱི་རླུང་གིས་བདས།།",欲求自利諸愚人 <br> 為彼彼事鬻自身 <br> 彼不可得定無義 <br> 徒為他業風所吹
154,"ལ་ལ་རང་གི་ལུས་བཙོངས་ཤིང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བཙོང་ཞིང་] C བཙོངས་ཤིང་; N,Q བརྩོངས་ཤིང་ ← Skt. विक्रीत <span class=\""text-quotation-style\"">sold</span> and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> support བཙོངས་</i>།།<br>དབང་མེད་གཞན་གྱིས་བཀོལ་གྱུར་ཏེ།།<br>ཆུང་མ་དག་ཀྱང་བུ་བྱུང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བྱུང་] F,G ཕྱུང་ ← Skt. प्रसूयन्ते <span class=\""text-quotation-style\"">give birth</span> and all commentaries support བྱུང་</i>ན།།<br>ཤིང་དྲུང་དགོན་པར་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">དགོན་པར་] C དགོན་པ་ ← All commentaries support instrumental case marker པར་</i>བབ་བབ་འབྱུང་།།",或有出賣自己身 <br> 他所僱傭無自在 <br> 仍懼妻室育子時 <br> 樹下祠中無宅舍
155,"འདོད་པས་བསླུས་པའི་གླེན་པ་དག།<br>འཚོ་འདོད་འཚོ་བར་བྱའོ་ཞེས།།<br>སྲོག་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">སྲོག་] N,Q སྲེག་ ། Sanskrit जीवित confirms སྲོག་ <span class=\""text-quotation-style\"">life/vitality</span>. All commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> read སྲོག་, supporting this reading.</i>སྟོར་དོགས་བཞིན་གཡུལ་དུ་འཇུག།<br>ཁེ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཁེ་] N ཁྱོ་ ། Sanskrit मान <span class=\""text-quotation-style\"">benefit/profit</span> and commentaries support ཁེ་. KP specifically glosses as རང་ཁེ་བར་བྱ་བའི་ཕྱིར་དུ་ <span class=\""text-quotation-style\"">for the sake of one's own profit</span>.</i>ཕྱིར་བྲན་དུ་འགྲོ་བར་བྱེད།།",欲貪欺誑諸愚人 <br> 常稱求活故謀生 <br> 不顧生命臨軍陣 <br> 為利甘為人役使
156,"འདོད་ལྡན་ལ་ལ་ལུས་ཀྱང་བཅད།།<br>ཁ་ཅིག་གསལ་ཤིང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">གསལ་ཤིང་] F,G གསལ་ཞིང་། The reading གསལ་ཤིང་ is confirmed by Skt. शूल <span class=\""text-quotation-style\"">stake, spike</span> and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS</span> which gloss it as གསལ་ཤིང་ referring specifically to an execution stake.</i>རྩེ་ལ་བཙུགས།།<br>ཁ་ཅིག་མདུང་ཐུང་དག་གིས་བསྣུན།།<br>ཁ་ཅིག་བསྲེགས་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བསྲེགས་] N,Q བསྲེག་། The reading བསྲེགས་ is supported by Skt. दह्यमानाः <span class=\""text-quotation-style\"">being burned</span> and commentaries: KP བསྲེག་པ་, GDR བསྲེགས་པ་. The past tense form བསྲེགས་ parallels the other past tense verbs in the verse <span class=\""text-quotation-style\"">བཅད་, བཙུགས་, བསྣུན་</span>.</i>པ་དག་ཀྱང་སྣང་།།",具貪慾者或斷肢 <br> 或貫尖杙為人幢 <br> 或被弋矛相刺擊 <br> 亦見投火焚其身
157,"བསགས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བསགས་] «C» བསག་ ། Sanskrit अर्जन and commentaries KP, KS support བསགས་. KP explicitly mentions བསག་པའི་སྡུག་བསྔལ་.</i>དང་བསྲུང་དང་བརླག་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བརླག་] «N,Q» རླག་ ། Sanskrit नाश and commentary KP support བརླག་. KP mentions བརླག་པའི་སྡུག་བསྔལ་ explicitly.</i>པའི་གདུང་བ་ཡིས།།<br>ནོར་ནི་ཕུང་ཁྲོལ་མཐའ་ཡས་ཤེས་པར་བྱ།།<br>ནོར་ལ་ཆགས་པས་གཡེངས་པར་གྱུར་པ་རྣམས།།<br>སྲིད་པའི་སྡུག་བསྔལ་ལས་གྲོལ་སྐབས་མེད་དོ།།",積聚守護散壞諸熱惱 <br> 財為無邊衰損汝應知 <br> 諸有貪著資財散亂者 <br> 陷三有獄脫苦終無期
158,"འདོད་ལྡན་རྣམས་ལ་དེ་ལ་སོགས།།<br>ཉེས་དམིགས་མང་ལ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ལ་] D བ། The reading ལ is supported by all other witnesses and confirmed by Sanskrit dative suffix -ām in कामिनाम्. Also supported by KP's gloss ལ།</i>མནོག་ཆུང་སྟེ།།<br>ཤིང་རྟ་འདྲེན་པའི་ཕྱུགས་དག་གིས<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">གིས] N,Q གི། The reading གིས is preferred as it properly marks the agentive case, corresponding to Sanskrit instrumental construction पशोः. This is supported by KP's gloss གིས and the grammatical requirement of an agentive particle for the subject ཕྱུགས་དག.</i>།།<br>རྩྭ་ནི་ཁམ་འགའ་ཟོས་པ་བཞིན།།",於諸具足貪慾者 <br> 所欲害多而利少 <br> 猶如俯首轅下駒 <br> 偶一嚼嚙路旁草
159,ཕྱུགས་ཀྱིས་བསྒྲུབས་ནའང་མི་དཀོན་པའི།།<br>མནོག་ཆུང་གང་ཡིན་དེ་དོན་དུ།།<br>དལ་འབྱོར་ཕུན་སུམ་རྙེད་དཀའ་འདི།།<br>ལས་ཀྱིས་མནར་བ་རྣམས་ཀྱིས་བཅོམ།།,畜生如是不為奇 <br> 何可人為瑣屑事 <br> 造諸惡業生諸苦 <br> 壞我難得暇滿身
160,"འདོད་པ་ངེས་པར་འཇིག་འགྱུར་ཞིང་།།<br>དམྱལ་ལ་སོགས་པར་ལྟུང་བྱེད་པ།།<br>ཆེན་པོ་མིན་ཕྱིར་དུས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དུས་] C,F,G དུསཾ་ | The reading དུས་ is supported by the Sanskrit सर्वकालं and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> which consistently use དུས་ཀུན་ཏུ་</i>ཀུན་ཏུ<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཏུ་] C,F,G ཏུ | Both readings are grammatically acceptable termitative particles. The reading ཏུ་ is preferred as it better matches the Sanskrit syntax and is supported by most commentaries.</i>།།<br>དུབ་པའི་ཚེགས་བྱུང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བྱུང་] C འབྱུང་ | The reading བྱུང་ is supported by the Sanskrit past participle कृतः and KP's usage of འབྱུང་བ་. The past tense བྱུང་ better fits the context of describing past suffering experienced.</i>གང་ཡིན་པ།།",所欲決定必壞滅 <br> 能令墮於地獄等 <br> 非為成於大義利 <br> 長時所生疲極苦
161,"དེ་ཡི་བྱེ་བའི་ཆ་ཙམ་གྱི།།<br>ཚེགས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཚེགས་] F,G ཚོགས། The reading ཚེགས་ is supported by the Sanskrit श्रम <span class=\""text-quotation-style\"">śrama</span> meaning 'effort, toil' and followed by most commentaries <span class=\""text-quotation-style\"">KP, KS, TS</span>. GDR uses ཚོགས་ but this appears to be an outlier. The context and Sanskrit original clearly indicate physical/mental exertion rather than accumulation.</i>ཀྱིས་སངས་རྒྱས་ཉིད་འགྲུབ་ན།།<br>འདོད་ལྡན་བྱང་ཆུབ་སྤྱོད་པ་བས།།<br>སྡུག་བསྔལ་ཆེ་ལ་བྱང་ཆུབ་མེད།།",若僅以其俱胝分 <br> 微苦即能成大覺 <br> 具欲而行菩提道 <br> 苦多菩提不可成
162,དམྱལ་སོགས་སྡུག་བསྔལ་བསམ་བྱས་ན།།<br>འདོད་པ་རྣམས་ལ་མཚོན་དང་ནི།།<br>དུག་དང་མེ་དང་གཡང་ས་དང་།།<br>དགྲ་རྣམས་ཀྱིས་ཀྱང་དཔེར་མི་ཕོད།།,當思地獄等諸苦 <br> 利刀毒藥及猛火 <br> 危巖及與諸怨敵 <br> 無可比喻貪慾者
163,དེ་ལྟར་འདོད་ལ་སྐྱོ་བྱས་ཏེ།།<br>དབེན་པ་ལ་ནི་དགའ་བ་བསྐྱེད།།<br>རྩོད་དང་ཉོན་མོངས་ཀྱིས་སྟོང་པ།།<br>ཞི་བའི་ནགས་ཀྱི་ནང་དག་ཏུ།།,如是於欲生厭離 <br> 於閑靜處生歡喜 <br>爭論煩惱悉空寂 <br> 住於寂靜叢林中
164,"སྐལ་ལྡན་ཟླ་འོད་ཙནྡན་གྱིས་བསིལ་བའི།།<br>ཡངས་པའི་རྡོ་ལེབ་ཁང་བཟང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཁང་བཟང་] I བཟངས་། Skt. हर्म्य and all commentaries support བཟང་</i>ཉམས་དགའ་བར།།<br>སྒྲ་མེད་ཞི་བའི་ནགས་རླུང་གཡོབ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">གཡོབ་པ་] D གཡོ་བ་། C,N,Q གཡོབ་པ་། གཡོབ་པ་ supported by KP: གཡོབ་བས་བསིལ་ཕབ་པ་, GDR: རླུང་གཡོབ་པ་, and TS: བསིལ་ཡབ་གཡོབ་པ་</i>པ་ཡིས།།<br>གཞན་ལ་ཕན་དོན་སེམས་ཤིང་འཆག་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">འཆག་] C འཆགས་ N,Q ཆགས་། Skt. चंक्रम्यते supports འཆག་ <span class=\""text-quotation-style\"">'to walk'</span>; KP and TS also use འཆག་</i>པར་བྱེད།།",可愛月光旃檀香露滌 <br> 廣大磐石適悅如華居 <br> 萬籟蕭然微颸拂林薄 <br> 為他饒益白淨善心生
165,"ཁང་སྟོང་ཤིང་དྲུང་ཕུག་དག་ཏུ།།<br>གང་དུ་ཇི་སྲིད་འདོད་གནས་ཤིང་།།<br>ཡོངས་འཛིན་བསྲུང་བའི་སྡུག་བསྔལ་སྤངས།།<br>ལྟོས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ལྟོས་] N,Q བལྟོས་། Skt. apekṣā supports the simpler reading ལྟོས་. All commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> consistently use ལྟོས་.</i>པ་མེད་པར་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">མེད་པར་] N,Q མེད་པའི་། Skt. virato <span class=\""text-quotation-style\"">free from</span> supports instrumental case པར་. This is also confirmed by commentaries KP,GDR,TS using མེད་པར་.</i>བག་ཡངས་སྤྱོད།།",空屋樹下石室等 <br> 隨心所欲而安住 <br> 遠離執持守護苦 <br> 無依無著放意行
166,"རང་དབང་སྤྱོད་ཅིང་ཆགས་མེད་ལ།།<br>གང་དང་ཡང་ནི་འབྲེལ་མེད་པ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">མེད་པ།] C པར། N,Q པའི། The reading མེད་པ། is adopted based on the Sanskrit प्रतिबद्धो न कस्यचित् and supported by all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> which consistently gloss this as འབྲེལ་བ་མེད་པ། The variant readings པར། and པའི། appear to be scribal errors that don't align with the Sanskrit or make grammatical sense in context.</i>།།<br>ཆོག་ཤེས་བདེ་སྤྱོད་གང་ཡིན་པ།།<br>དབང་པོས་ཀྱང་ནི་དེ་རྙེད་དཀའ།།",自在受用無貪著 <br> 不為一物所繫屬 <br> 所有知足受用樂 <br> 雖南面王未易有
167,"དེ་ལ་སོགས་པའི་རྣམ་པ་ཡིས།།<br>དབེན་པའི་ཡོན་ཏན་བསམ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བསམ་] N,Q བསམས་. The reading བསམ་ is preferred as it matches the Sanskrit गुणभावनात् <span class=\""text-quotation-style\"">guṇa-bhāvanāt</span> which is a present participle. This is also supported by KS's reading བསམ་པར་ and GDR's བསམ་པ་. While KP uses བསམས་, the majority of commentaries and the Sanskrit source support བསམ་.</i>བྱས་ནས།།<br>རྣམ་རྟོག་ཉེ་བར་ཞི་བ་དང་།།<br>བྱང་ཆུབ་སེམས་ནི་བསྒོམ་པར་བྱ།།",依於如是種種相 <br> 思維阿練若功德 <br> 應即息滅諸分別 <br> 應當修習菩提心
168,བདག་དང་གཞན་དུ་མཉམ་པ་ནི།།<br>དང་པོ་ཉིད་དུ་འབད་དེ་བསྒོམ།།<br>བདེ་དང་སྡུག་བསྔལ་མཉམ་པས་ན།།<br>ཐམས་ཅད་བདག་བཞིན་བསྲུང་བར་བྱ།།,最初應當勤修習 <br> 自他不異平等捨 <br> 所受苦樂相等故 <br> 應護眾生如愛已
169,"ལག་པ་ལ་སོགས་དབྱེ་བ་རྣམ་མང་ཡང་།།<br>ཡོངས་སུ་བསྲུང་བྱའི་ལུས་སུ་གཅིག་པ་ལྟར།།<br>དེ་བཞིན་འགྲོ་བ་ཐ་དད་བདེ་སྡུག་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བདེ་སྡུག་] N,Q པའི་བདེ་སྡུག་ཐ་དད། The reading without པའི་ and ཐ་དད་ is preferred based on the Sanskrit भिन्नदुःख and all commentaries. KP, GDR, and KS all gloss the term as བདེ་སྡུག without the additional qualifiers. The simpler reading also better matches the metric structure of the verse.</i>དག།<br>ཐམས་ཅད་བདག་བཞིན་བདེ་བ་འདོད་མཉམ་གཅིག།",如手足等維有多差別 <br> 同為一身悉皆所愛護 <br> 如是別異眾生諸苦樂 <br> 悉欲求樂如我等無異
170,"གལ་ཏེ་བདག་གི་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བདག་གི་] N,Q བདག་གིས་ | གི་ preferred based on Sanskrit genitive मद् and supported by all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span></i>སྡུག་བསྔལ་གྱིས།།<br>གཞན་གྱི་ལུས་ལ་མི་གནོད་པ།།<br>དེ་ལྟའང་དེ་བདག་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">དེ་བདག་] N,Q དེ་དག་ | བདག་ preferred based on Sanskrit मम and supported by commentaries KP,GDR,KS <span class=\""text-quotation-style\"">བདག་གི་</span> and context of discussing self vs. others</i>སྡུག་བསྔལ་དེ།།<br>བདག་ཏུ་ཞེན་པས་མི་བཟོད་ཉིད།།",既我自身所有苦 <br> 不能損惱他人身 <br> 故知但由執我故 <br> 於自所苦難安忍
171,"དེ་བཞིན་གཞན་གྱི་སྡུག་བསྔལ་དག།<br>བདག་ལ་འབབ་པར་མི་འགྱུར་ཡང་།།<br>དེ་ལྟའང་དེ་བདག་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བདག་] N,Q དག་ གཞན་གྱི་སྡུག་བསྔལ་དེ་བདག་གི་སྡུག་བསྔལ་ཡིན་པ་སྐབས་ཀྱི་དོན་ཡིན་པས་དང་། སཾ། तस्य तद्दुःखम् དང་མཐུན་པས་བདག་ཞེས་པ་ལེགས།</i>སྡུག་བསྔལ་ཏེ<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཏེ་] N,Q དེ་ སཾ། དང་འགྲེལ་པ་རྣམས་ཀྱིས་བསྒྲུབ་བྱ་དང་རྒྱུ་མཚན་གྱི་འབྲེལ་པ་སྟོན་པས་ཏེ་ཞེས་པ་ལེགས།</i>།།<br>བདག་ཏུ་ཞེན་པས་བཟོད་པར་དཀའ།།",如是他人之所苦 <br> 雖未降臨加我身 <br> 彼亦能令我生苦 <br> 執為我故不能忍
172,བདག་གིས་གཞན་གྱི་སྡུག་བསྔལ་བསལ།།<br>སྡུག་བསྔལ་ཡིན་ཕྱིར་བདག་སྡུག་བཞིན།།<br>བདག་གིས་གཞན་ལ་ཕན་པར་བྱ།།<br>སེམས་ཅན་ཡིན་ཕྱིར་བདག་ལུས་བཞིན།།,我應除去他人苦 <br> 是苦受故如自苦 <br> 我應為他作饒益 <br> 是有情故如自身
173,"གང་ཚེ་བདག་དང་གཞན་གཉིས་ཀ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">གཉི་ག ] C གཉིས་ཀ. The reading གཉིས་ཀ is supported by all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> and better matches the Sanskrit dual परेषां. Additionally, གཉིས་ཀ is the standard Classical Tibetan form.</i>།།<br>བདེ་བ་འདོད་དུ་མཚུངས་པ་ལ།།<br>བདག་དང་ཁྱད་པར་ཅི་ཡོད་ན།།<br>གང་ཕྱིར་བདག་གཅིག་བདེ་བར་བརྩོན།།",若時自他二者間 <br> 欲求安樂均相等 <br> 我於他有何差別 <br> 何故唯勤求自樂
174,"གང་ཚེ་བདག་དང་གཞན་གཉིས་ཀ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">གཉིས་ཀ] «C» གཉི་ག། The reading གཉིས་ཀ is supported by all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> and better matches the Sanskrit द्वय implicit in परेषां च. KP explicitly glosses གཉིས་ཀ. The variant གཉི་ག in «C» appears to be an orthographic variant without semantic difference.</i>།།<br>སྡུག་བསྔལ་མི་འདོད་མཚུངས་པ་ལ།།<br>བདག་དང་ཁྱད་པར་ཅི་ཡོད་ན།།<br>གང་ཕྱིར་གཞན་མིན་བདག་སྲུང་བྱེད།།",若時自他二者間 <br> 不欲受苦亦均等 <br> 我於他有何差別 <br> 何故護己捨他人
